matrixDimension,timeInnerExact,errorInnerExact,timeOuterExact,errorOuterExact,timeOuterApprox,errorOuterApprox,subsample,subsampling
171,18.247000,0.000000,17.465000,0.000000,7.336000,7267.274414,0.400000,2
172,18.362000,0.000000,17.733000,0.000000,7.438000,7302.026367,0.400000,2
173,21.914000,0.000000,17.999000,0.000000,7.735000,7413.746094,0.400000,2
174,19.077000,0.000000,18.409000,0.000000,10.291000,7464.639648,0.400000,2
175,19.502000,0.000000,18.667000,0.000000,7.791000,7559.410645,0.400000,2
176,19.652000,0.000000,18.978000,0.000000,8.825000,7719.151367,0.400000,2
177,20.538000,0.000000,19.284000,0.000000,8.121000,7796.381348,0.400000,2
178,20.342000,0.000000,19.719000,0.000000,8.307000,7836.151367,0.400000,2
179,20.829000,0.000000,20.005000,0.000000,8.425000,7868.150879,0.400000,2
180,23.994000,0.000000,20.430000,0.000000,8.573000,8066.116699,0.400000,2
181,21.302000,0.000000,20.660000,0.000000,8.690000,8105.360352,0.400000,2
182,21.628000,0.000000,20.906000,0.000000,8.895000,8189.053711,0.400000,2
183,25.188000,0.000000,21.464000,0.000000,9.032000,8297.146484,0.400000,2
184,22.429000,0.000000,21.674000,0.000000,9.117000,8474.609375,0.400000,2
185,22.873000,0.000000,22.139000,0.000000,9.234000,8517.820312,0.400000,2
186,23.232000,0.000000,25.501000,0.000000,9.473000,8590.286133,0.400000,2
187,23.680000,0.000000,22.962000,0.000000,9.603000,8672.732422,0.400000,2
188,23.993000,0.000000,23.306000,0.000000,9.802000,8686.435547,0.400000,2
189,30.211000,0.000000,26.320000,0.000000,9.921000,8792.377930,0.400000,2
190,26.592000,0.000000,23.951000,0.000000,9.990000,8924.442383,0.400000,2
191,26.906000,0.000000,24.311000,0.000000,10.223000,9030.854492,0.400000,2
192,27.290000,0.000000,24.714000,0.000000,10.334000,9074.244141,0.400000,2
193,26.076000,0.000000,25.045000,0.000000,10.599000,9201.470703,0.400000,2
194,26.323000,0.000000,25.396000,0.000000,10.807000,9346.966797,0.400000,2
195,26.623000,0.000000,25.870000,0.000000,10.757000,9370.395508,0.400000,2
196,28.411000,0.000000,29.273000,0.000000,11.173000,9524.832031,0.400000,2
197,27.452000,0.000000,26.694000,0.000000,11.106000,9643.725586,0.400000,2
198,31.094000,0.000000,27.249000,0.000000,11.415000,9678.698242,0.400000,2
199,28.358000,0.000000,27.556000,0.000000,11.545000,9833.218750,0.400000,2
200,28.885000,0.000000,27.917000,0.000000,11.629000,9874.802734,0.400000,2
201,29.329000,0.000000,28.338000,0.000000,11.916000,10023.821289,0.400000,2
202,29.801000,0.000000,28.869000,0.000000,12.034000,10158.572266,0.400000,2
203,30.198000,0.000000,29.339000,0.000000,12.269000,10249.506836,0.400000,2
204,32.515000,0.000000,30.753000,0.000000,13.589000,10243.285156,0.400000,2
205,31.189000,0.000000,30.033000,0.000000,12.530000,10508.555664,0.400000,2
206,31.649000,0.000000,30.538000,0.000000,12.846000,10547.867188,0.400000,2
207,31.785000,0.000000,33.910000,0.000000,12.912000,10648.644531,0.400000,2
208,35.534000,0.000000,31.396000,0.000000,13.193000,10724.447266,0.400000,2
209,33.068000,0.000000,32.142000,0.000000,13.397000,10784.183594,0.400000,2
210,33.413000,0.000000,35.524000,0.000000,13.460000,10986.671875,0.400000,2
211,33.995000,0.000000,32.594000,0.000000,17.025000,10989.625977,0.400000,2
212,34.430000,0.000000,33.404000,0.000000,13.863000,11132.125000,0.400000,2
213,34.819000,0.000000,33.715000,0.000000,17.034000,11260.334961,0.400000,2
214,35.503000,0.000000,34.137000,0.000000,17.039000,11283.449219,0.400000,2
215,39.345000,0.000000,34.786000,0.000000,14.477000,11405.139648,0.400000,2
216,36.313000,0.000000,35.081000,0.000000,14.695000,11532.319336,0.400000,2
217,36.862000,0.000000,38.553000,0.000000,14.901000,11736.589844,0.400000,2
218,37.503000,0.000000,36.205000,0.000000,15.171000,11722.292969,0.400000,2
219,41.068000,0.000000,36.873000,0.000000,15.332000,11910.936523,0.400000,2
220,40.618000,0.000000,38.044000,0.000000,15.426000,11967.821289,0.400000,2
221,39.566000,0.000000,37.703000,0.000000,15.721000,12099.706055,0.400000,2
222,40.114000,0.000000,38.235000,0.000000,15.881000,12317.659180,0.400000,2
223,40.461000,0.000000,38.614000,0.000000,16.175000,12355.155273,0.400000,2
224,41.566000,0.000000,39.311000,0.000000,16.319000,12412.208008,0.400000,2
225,41.396000,0.000000,43.325000,0.000000,16.495000,12546.259766,0.400000,2
226,41.782000,0.000000,40.230000,0.000000,16.793000,12642.373047,0.400000,2
227,42.532000,0.000000,40.831000,0.000000,16.921000,12788.851562,0.400000,2
228,43.244000,0.000000,41.325000,0.000000,17.397000,12802.261719,0.400000,2
229,46.441000,0.000000,43.717000,0.000000,17.673000,12969.703125,0.400000,2
230,44.051000,0.000000,42.359000,0.000000,17.575000,13078.690430,0.400000,2
231,44.370000,0.000000,42.435000,0.000000,17.777000,13213.567383,0.400000,2
232,45.242000,0.000000,44.130000,0.000000,17.998000,13407.528320,0.400000,2
233,45.690000,0.000000,47.176000,0.000000,18.369000,13485.731445,0.400000,2
234,46.501000,0.000000,44.727000,0.000000,18.696000,13594.927734,0.400000,2
235,50.180000,0.000000,45.303000,0.000000,19.797000,13643.786133,0.400000,2
236,51.145000,0.000000,45.992000,0.000000,19.083000,13858.247070,0.400000,2
237,51.326000,0.000000,46.391000,0.000000,19.383000,13885.650391,0.400000,2
238,48.521000,0.000000,47.248000,0.000000,19.482000,14067.200195,0.400000,2
239,49.576000,0.000000,47.685000,0.000000,22.493000,14059.238281,0.400000,2
240,49.965000,0.000000,48.198000,0.000000,19.850000,14302.194336,0.400000,2
241,51.453000,0.000000,48.772000,0.000000,20.509000,14450.064453,0.400000,2
242,51.385000,0.000000,49.335000,0.000000,20.446000,14618.440430,0.400000,2
243,52.145000,0.000000,50.017000,0.000000,20.894000,14635.200195,0.400000,2
244,52.908000,0.000000,50.581000,0.000000,20.950000,14745.884766,0.400000,2
245,53.950000,0.000000,51.157000,0.000000,21.561000,14995.024414,0.400000,2
246,56.644000,0.000000,53.176000,0.000000,21.648000,15031.442383,0.400000,2
247,60.547000,0.000000,52.115000,0.000000,21.684000,15117.897461,0.400000,2
248,55.279000,0.000000,53.861000,0.000000,25.109000,15254.076172,0.400000,2
249,58.854000,0.000000,53.599000,0.000000,22.292000,15299.602539,0.400000,2
250,57.131000,0.000000,57.545000,0.000000,23.007000,15432.222656,0.400000,2
